time,Fx,Fy,Fz
2.89981,-0.0610352,-0.340053,-0.357492
2.89982,-0.226702,-0.261579,-0.174386
2.89983,-0.313895,-0.401088,-0.183105
2.89984,-0.217983,-0.156948,-0.0174386
2.89985,-0.322614,-0.0959124,-0.235421
2.89986,-0.453404,0.0697545,-0.366211
2.89987,-0.340053,0.409808,-0.174386
2.89988,-0.409808,0.531878,-0.25286
2.89989,-0.392369,0.810896,-0.235421
2.8999,-0.287737,0.514439,-0.244141
2.89991,-0.366211,0.200544,-0.331334
2.89992,-0.348772,0.331334,-0.313895
2.89993,-0.427246,0.392369,-0.322614
2.89994,-0.50572,0.479562,-0.409808
2.89995,-0.427246,0.287737,-0.435965
2.89996,-0.409808,0.444685,-0.462123
2.89997,-0.409808,0.25286,-0.366211
2.89998,-0.261579,0.104632,-0.340053
2.89999,-0.244141,0.244141,-0.296456
2.9,-0.340053,-0.00871931,-0.217983
2.90001,-0.217983,0.12207,-0.244141
2.90002,0.0261579,0.427246,-0.305176
2.90003,0.0697545,0.331334,-0.226702
2.90004,0.0261579,0.13079,-0.183105
2.90005,-0.0174386,0.680106,-0.38365
2.90006,-0.12207,0.558036,-0.409808
2.90007,-0.217983,0.0523158,-0.287737
2.90008,-0.13079,0.514439,-0.313895
2.90009,-0.113351,0.444685,-0.357492
2.9001,-0.235421,0.25286,-0.322614
2.90011,-0.296456,0.418527,-0.427246
2.90012,-0.287737,0.244141,-0.479562
2.90013,-0.217983,-0.165667,-0.340053
2.90014,-0.156948,-0.287737,-0.38365
2.90015,-0.244141,-0.0610352,-0.340053
2.90016,-0.25286,-0.0523158,-0.226702
2.90017,-0.0959124,0.148228,-0.331334
